id,language,sentence
36,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/9392453
37,Kabyle,"Simes, d amyag ilan yiwen unamek neţţa akked sebluleɣ, sebluddeḥ, sexnunes, sseḥnunez, wexxem, xemmeǧ, xemmej, sexmeǧ, ɛfen, ɛfufen, ḍfi."
37,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/9393074
38,Portuguese,O Tom acaba de começar a trabalhar aqui.
38,English,Tom has just started working here.
38,Russian,Том совсем недавно начал здесь работать.
38,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/7064540
39,English,Sami hated mechanics.
39,Turkish,Sami mekaniği sevmezdi.
39,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/6709478
40,English,Tom didn't notice that Mary was crying.
40,Turkish,Tom Mary'nin ağladığını fark etmedi.
40,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/6268245
41,Lithuanian,Šitas automobilis mums priklauso.
41,Esperanto,Tiu aŭto apartenas al ni.
41,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/7814859
42,Indonesian,Tom terlihat tidak tertarik.
42,English,Tom seemed uninterested.
42,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/3483948
43,Russian,Будь вежлива.
43,German,Sei höflich!
43,French,Sois polie !
43,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/8308326
44,Ukrainian,Ми говоримо французькою.
44,English,We speak French.
44,Esperanto,Ni parolas france.
44,French,Nous parlons français.
44,Italian,Parliamo francese.
45,Italian,Stasera canterete fino a perdere la voce?
45,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/3505334
46,Kabyle,Ɛerḍet akerwaṣun i d-yewwi baba.
46,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/9585496
47,Italian,Loro andranno in Irlanda.
47,English,They'll go to Ireland.
47,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/3810361
48,Hungarian,"— Nem hagyom, hogy a barátaimat bántsd! — Nem is áll szándékomban bántani a te barataidat."
48,English,"""I won't let you hurt my friends!"" ""I wasn't going to hurt your friends."""
48,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/9689746
49,German,Der Junge ist unter dem Tisch.
49,French,Le garçon est sous la table.
49,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/8881379
50,German,Die Krankheit hat plötzlich begonnen.
50,English,The disease began all of a sudden.
50,Esperanto,La malsaneco subite komenciĝis.
50,Low German (Low Saxon),De Krankheid hett bats anfungen.
50,Russian,Болезнь началась внезапно.
51,Esperanto,Mi tenos tion en memoro.
51,French,Je garderai ça en tête.
51,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/3030327
52,Italian,Tom guardava.
52,English,Tom looked.
52,Esperanto,Tomo rigardis.
52,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/2191128
53,Esperanto,Liaj gepatroj min malamas.
53,Italian,I suoi genitori mi odiano.
53,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/2920105
54,English,We usually stay for about three days every time we go to Boston.
54,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/9776911
55,English,"In general, young people dislike formality."
55,Esperanto,"Ĝenerale, junaj homoj malŝatas formalecon."
55,French,Les jeunes ont en général une aversion pour les formalités.
55,Japanese,一般に若者は形式を嫌う。
55,Dutch,In het algemeen houden jongeren niet van formaliteit.
56,Coastal Kadazan,Miizon isido id somboong o bavang.
56,Japanese,彼は川の向こう側に住んでいる。
56,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/4572559
57,English,I respect them.
57,Berber,Ttqadareɣ-tent.
57,Esperanto,Mi respektas ilin.
57,Italian,Li rispetto.
58,Kabyle,Ur teɛriḍ ara takeṛmust.
58,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/9563513
59,English,"""Are you all right?"" ""I've been better."""
59,German,„Ist alles in Ordnung?“ – „Es ging mir schon mal besser.“
59,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/8954227
60,Marathi,मी शहरी मुलगी आहे.
60,English,I'm a city girl.
60,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/5232416
61,Esperanto,El la tri knaboj la plej juna estas la plej bela.
61,English,"Of the three boys, the youngest is the most attractive."
61,French,"Des trois enfants, c'est le plus jeune le plus attirant."
61,Dutch,Van de drie jongens is de jongste de mooiste.
61,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/438794
62,Algerian Arabic,بغيت نبات ليلة واحدة.
62,Berber,Xseɣ ad nseɣ iḍ iggen.
62,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/2691323
63,Esperanto,Nur tiam Manjo sentis la amarecon de sia vidviniĝo.
63,Dutch,Toen pas voelde Maria de bitterheid van haar weduwschap.
63,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/8630904
64,Lithuanian,Ar Tomas bijo mūsų?
64,Esperanto,"Tomo timas nin, ĉu ne?"
64,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/8415089
65,English,Do you want to help us catch Tom's killer?
65,Finnish,Haluatko auttaa meitä saamaan kiinni Tomin tappajan?
65,Russian,Ты хочешь помочь нам поймать убийцу Тома?
65,Turkish,Tom'un katilini yakalamamıza yardım etmek istiyor musun?
65,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/2028346
66,Portuguese,Tive varicela quando era menino.
66,English,I had chicken pox when I was a kid.
66,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/3710600
67,English,He was destined to become a great musician.
67,Mandarin Chinese,他命中注定要成為偉大的音樂家。
67,Esperanto,Lia destino estis fariĝi granda muzikisto.
67,French,Il était destiné à devenir un grand musicien.
67,Japanese,彼は偉大な音楽家になる運命にあった。
68,Portuguese,Mary tem uma marca de nascença na perna esquerda.
68,English,Mary has a birthmark on her left leg.
68,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/8445854
69,Kabyle,Icerreg-am-tt dindin.
69,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/9156595
70,Russian,"Это не так сложно, как кажется."
70,English,It's not as difficult as it sounds.
71,Hungarian,Japán és Nagy-Britannia szigetország.
71,English,Japan and Britain are island countries.
71,Japanese,"日
に
本
ほん
とイギリスは島
しま
国
ぐに
である。"
71,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/602367
72,Berber,Maɣef ay d-tuɣ Skura tamacint n tegni?
72,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/9894156
73,Polish,Zapłać ile chcesz.
73,English,Pay what you want.
73,Esperanto,"Pagu, kiom vi volas."
73,French,Payez ce que vous voulez.
73,Ukrainian,"Заплати стільки, скільки хочеш."
74,Kabyle,Ad ruḥeγ.
74,Arabic,سآتي.
74,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/7040681
75,English,They own a comic book store.
75,Berber,Lant taḥanut n yidlisen n uzawag n wunuɣen.
76,Bulgarian,Обичат ли родителите Ви или други членове на вашето семейство да четат ?
76,English,Did your parents or other members of your family like to read?
76,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/2324876
77,Tagalog,"""Ang dugong Kastila sa pamilya ko ay dumaraan pareho sa tatay at nanay."" ""Ganoon din kami."""
77,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/9458030
78,Portuguese,Nós vamos fazer isso.
78,English,We're going to make it.
78,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/6781769
79,Algerian Arabic,تقدر تديرها.
79,English,You can do it.
79,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/7351272
80,English,"They said so, but she thought to the contrary."
80,Japanese,彼らはそう言いましたが、彼女はそう思いませんでした。
80,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/305694
81,Bulgarian,Трябва да я върна тази вечер.
81,English,I have to give it back tonight.
81,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/2843594
82,Hindi,मुम्बई भारतीय राज्य महाराष्ट्र की राजधानी है।
82,Bhojpuri,मुम्बई भारतीय प्रान्त महाराष्ट्र के राजधानी ह।
82,English,Mumbai is the capital of the Indian state of Maharashtra.
82,Gujarati,મુંબઈ ભારતનાં મહારાષ્ટ્ર રાજ્યનું પાટનગર છે.
82,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/487592
83,Turkish,O spora düşkündür.
83,English,She is devoted to sport.
83,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/2834040
84,Portuguese,Eu preciso terminar de limpar a garagem.
84,English,I need to finish cleaning out the garage.
84,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/5819508
85,Interlingua,Dice la lo.
85,German,Sag es ihr.
85,English,Tell her.
85,Esperanto,Diru ĝin al ŝi.
86,Italian,Credi veramente ai fantasmi?
86,English,You really believe in ghosts?
86,Esperanto,Ĉu vi vere kredas je fantomoj?
86,French,Crois-tu réellement aux fantômes ?
87,Turkish,Onların desteği çok değerli.
87,English,Their support has been invaluable.
87,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/6039967
88,English,Tom knows what we're doing.
88,Czech,"Tom ví, co děláme."
88,Mandarin Chinese,汤姆知道我们在做什么。
88,German,"Tom weiß, was wir tun."
88,Esperanto,"Tomo scias, kion ni faras."
89,Esperanto,"Mi donis al ŝi monon, por ke ŝi por mi aĉetu kapaŭskultilojn."
89,Russian,"Я дал ей денег, чтобы она купила мне наушники."
89,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/5057447
90,Berber,Kaysa d Ɛli ur srin ara asegzawal n tčerkisit.
90,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/9892797
91,Polish,Jesteś kozłem.
91,English,You're a billy-goat.
91,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/1313337
92,Dutch,Daar komt de politie. Wegwezen hier.
92,Esperanto,Jen la polico. For de ĉi tie!
92,Portuguese,Aí vem a polícia. Vamos sair daqui.
92,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/822938
93,Italian,Lui lava la sua auto almeno una volta alla settimana.
93,English,He washes his car at least once a week.
93,Esperanto,Li lavas sian maŝinon almenaŭ unufoje semajne.
93,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/3337671
94,German,Er hat auch einen an der Klatsche.
94,Esperanto,Li ankaŭ frenezas.
94,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/811073
95,Berber,"Ma bɣiɣ, ad tt-nɣent."
95,English,"If I want, they will kill her."
95,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/7333063
96,English,I can't make heads or tails of this assignment.
96,German,Ich kann mir auf diese Aufgabe keinen Reim machen.
96,Esperanto,Mi tute ne komprenas ĉi tiun taskon.
96,Japanese,この仕事は何が何だかさっぱり分からないわ。
96,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/59144
97,English,Tom came to Australia when he was thirteen years old.
97,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/7167671
98,Italian,Non voleva governarci assieme.
98,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/3662684
99,Esperanto,"Al ĉi tiu statuo mankas nenio, krom la kapablo paroli."
99,Latin,Huic imagini nihil deest nisi loquela.
99,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/7591394
100,Hebrew,אתה מוכן לצאת לדרך?
100,English,Are you ready to go?
100,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/1399493
101,English,I ate all the cookies.
101,Ukrainian,Я з'їла все печиво.
101,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/8930834
102,Ukrainian,Можеш дати мені одну хвилинку?
102,English,Can you give me a minute?
102,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/6056325
103,Berber,Tebɣam ad teslem i cwiṭ n uẓawan?
103,English,Do you want to listen to some music?
103,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/9122429
104,German,Bitte warten.
104,French,Veuillez patienter.
104,Hungarian,Tessék várni.
104,Japanese,"お待
ま
ちください。"
104,Dutch,Even geduld alsjeblieft.
105,Berber,Wwiɣ-asen-d amahil.
105,English,I have work for them.
105,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/8481774
106,French,As-tu vu ma maman ?
106,Esperanto,Ĉu vi vidis mian panjon?
106,Russian,Ты видел мою маму?
106,Swedish,Såg du min mamma?
106,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/7754740
107,Kabyle,Tetthummuḍ ɣer Bgayet.
107,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/9121425
108,Bulgarian,Вчера хванах три риби.
108,Greek,Χθες έπιασα τρια ψάρια.
108,English,I caught three fish yesterday.
108,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/821580
109,Italian,Loro faranno un giro in bici.
109,French,Elles vont faire un tour de vélo.
109,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/4215653
110,Russian,Настала ночь.
110,English,Night came on.
110,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/3586500
111,Spanish,Te esperamos allá.
111,English,We will wait for you there.
111,Italian,Ti aspettiamo là.
111,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/1359324
112,Esperanto,"""Ho! ne!"" ""Jes, ja!"""
112,French,« Oh que non ! » « Oh que si ! »
112,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/1491627
113,German,Lasst uns Tennis spielen. Ich habe für 10:30 einen Platz gebucht.
113,English,Let's play tennis. I've booked a court for 10:30.
113,Spanish,Vamos a jugar al tenis. He reservado una pista para las 10:30.
113,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/783374
114,English,"""Where is Taninna?"" ""She's in Kabylie."""
114,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/8053165
115,Berber,Yella yessefk ad d-tesɣemt asegzawal tapuṛtugalit-tacinwat.
115,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/9657358
116,Portuguese,Você só precisa me prometer uma coisa.
116,Esperanto,Vi devas promesi al mi nur unu aferon.
116,Spanish,Solo tienes que prometerme una cosa.
116,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/1909566
117,Spanish,Dormí en el sofá.
117,Mandarin Chinese,我在沙發上睡的。
117,English,I slept on the couch.
117,Ukrainian,Я спала на дивані.
118,German,"Darf ich dich fragen, was deine Absichten sind?"
118,Italian,Posso chiederti quali sono le tue intenzioni?
118,Spanish,¿Puedo preguntar cuáles son tus intenciones?
118,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/4895328
119,Kabyle,Ur nessebleɛ ara tamuffint-nni.
119,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/9600043
120,Hebrew,אגם באיקל ברוסיה הוא האגם העמוק ביותר בעולם.
120,English,Lake Baikal in Russia is the deepest lake in the world.
120,Polish,Jezioro Bajkał w Rosji jest najgłębszym jeziorem na świecie.
120,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/1387921
121,English,I didn't know how to cope with the problem.
121,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/6239616
122,English,I thought you left with them.
122,Turkish,Onlarla birlikte ayrıldığını düşündüm.
122,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/3903735
123,Kabyle,Cerqen-awen waman.
123,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/9005237
124,Dutch,We accepteren het.
124,German,Wir nehmen es.
124,French,Nous acceptons.
124,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/7206982
125,Hungarian,A barátom Japánból.
125,German,Das ist mein Freund aus Japan.
125,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/3381563
126,Marathi,मेरीला रेगे आवडतं हे टॉमला माहीत आहे.
126,English,Tom knows Mary likes reggae.
126,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/2434958
127,Bengali,আমি কি আমার মালপত্র এখানে রেখে যেতে পারি?
127,English,Can I leave my luggage here?
127,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/3779342
128,Turkish,Tom mektubu ceketinin cebine koydu.
128,English,Tom put the letter in his coat pocket.
128,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/5508463
129,English,Mary said she didn't have time to help you.
129,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/6417815
130,Interlingua,Que tu non mira a basso.
130,Russian,Не смотри вниз.
130,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/2705706
131,English,I know you probably don't want to go.
131,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/7513771
132,Polish,Ból w zasadzie ustąpił.
132,German,Der Schmerz ist größtenteils verschwunden.
132,English,The pain has mostly gone away.
132,French,La douleur a en majeure partie disparu.
132,Hungarian,Már majdnem elmúlt a fájdalom.
133,Russian,Я знаю хорошую преподавательницу французского.
133,French,Je connais une bonne professeur de français.
133,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/9171094
134,Turkish,Tom Çinli bir takas öğrencisiyle çıkıyor.
134,English,Tom is going out with a Chinese exchange student.
134,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/4582457
135,Esperanto,Mi instruos al vi la skribadon.
135,French,Je vous enseignerai à écrire.
135,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/5040406
136,Esperanto,"Ni malkovris, ke li estis ŝia patro."
136,French,Nous avons découvert qu'il était son père.
136,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/903786
137,English,I run two times per week.
137,Swedish,Jag springer två gånger per vecka.
137,Turkish,Haftada iki kez koşarım.
137,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/6008252
138,Hebrew,אני חושב שהיא לא תבוא.
138,English,I think she will not come.
138,Esperanto,"Mi pensas, ke ŝi ne venos."
138,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/6008542
139,French,J'ai encore tant à faire.
139,Berber,Aṭas n leqdic i d iyi-yeggunin.
139,German,Ich habe noch so viel zu tun.
139,English,I've got so much left to do.
139,Portuguese,Ainda tenho tanto a fazer.
140,English,Everyone here likes her.
140,Italian,Lei piace a tutti qui.
140,Russian,Её здесь все любят.
141,Turkish,Normal görünüyor muyum?
141,English,Do I look normal?
141,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/4167575
142,Kabyle,Kseɣ-d idammen iwakken ad iẓer umejjay d acu helkeɣ.
142,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/9298095
143,Turkish,Söylediğim şeyi işitemedin.
143,English,You couldn't hear what I was saying.
143,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/6110192
144,English,He injured himself with a knife yesterday.
144,German,Er verletzte sich gestern mit einem Messer.
144,Italian,Lui si è ferito con un coltello ieri.
144,Japanese,彼は昨日ナイフでけがをした。
145,Serbian,Волим чај.
145,English,I like tea.
145,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/8848006
146,Turkish,Güneş'e en yakın gezegen hangisi?
146,English,Which planet is closest to the sun?
146,Esperanto,Kiu estas la planedo plej proksima al Suno?
146,French,Quelle est la planète la plus proche du soleil ?
146,Spanish,¿Cuál es el planeta más cercano al sol?
147,Russian,"Спроси у неё, где она припарковалась."
147,English,Ask her where she parked her car.
147,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/8815457
148,Vietnamese,Chúng tôi chỉ muốn biết liệu Tom và Mary có đến hay không.
148,English,We just want to know whether Tom and Mary are coming or not.
148,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/9793925
149,Dutch,Het kleine roodharige meisje zit op het trapje en streelt haar katje.
149,Esperanto,La ruĝhara knabineto sidas sur la ŝtupareto kaj karesas sian kateton.
149,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/4646511
150,Kabyle,Yexdem akken yelha.
150,French,Il fit du bon boulot.
150,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/8355249
151,Indonesian,Dasi itu benar-benar cocok denganmu.
151,English,That tie really suits you.
151,French,Cette cravate te va vraiment bien.
151,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/3938948
152,Turkish,Aniden güzel bir kuş gördüm.
152,English,"Suddenly, I saw a beautiful bird."
152,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/3315953
153,Turkish,Ben şimdilik otelde kalacağım.
153,English,I will stay at the hotel for now.
153,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/5265337
154,Russian,"Это настолько очевидно, что нам не нужны доказательства."
154,French,C'est tellement évident que nous n'avons pas besoin de preuves.
154,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/4381742
155,Kabyle,Ur ɛeddaɣ ara ihi ɣer Miksik.
155,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/9110171
156,Kabyle,Rziɣ ɣer At Jlil.
156,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/9540233
157,Latin,Proximo anno Roma iter faciam.
157,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/2652420
158,Italian,Vanno a cercare qualcosa in Islanda?
158,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/7601331
159,French,Toute ma vie sera sur tes épaules.
159,Esperanto,Mia tuta vivo ripozos sur viaj ŝultroj.
159,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/3080977
160,Italian,È da qualche giorno che mi scordo di dirtelo.
160,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/6607880
161,English,Tom said that he thought Mary might not have to do that.
161,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/6258273
162,Berber,Rret ddehn-nwen.
162,English,Be attentive.
162,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/8413161
163,Portuguese,Um assunto de extrema importância foi abordado durante a reunião.
163,Dutch,Een zeer belangrijk onderwerp kwam ter sprake tijdens de vergadering.
163,Spanish,Un asunto de extrema importancia fue abordado en la reunión.
163,error,Not enough sentences in https://tatoeba.org/eng/sentences/show/1322493
164,Spanish,Dejé mis guantes nuevos en la librería.
